ano;idRegiaoBrasil;nomeRegiao;idCursos;nomeCurso;classes;idadeMedia;matriculas;evasao;
2008;1;Norte;xx003;Ensino Fundamental 2§ Ano;31100;8310;502410;-365883;
2008;2;Nordeste;xx003;Ensino Fundamental 2§ Ano;86602;8228;1282402;-677789;
2008;3;Centro-Oeste;xx003;Ensino Fundamental 2§ Ano;12376;8060;245293;-72215;
2008;4;Sudeste;xx003;Ensino Fundamental 2§ Ano;63046;7658;1341619;-549290;
2008;5;Sul;xx003;Ensino Fundamental 2§ Ano;21017;7649;377779;-119348;
2008;1;Norte;xx004;Ensino Fundamental 3§ Ano;30619;9309;469731;80198;
2008;2;Nordeste;xx004;Ensino Fundamental 3§ Ano;85960;9270;1284305;128307;
2008;3;Centro-Oeste;xx004;Ensino Fundamental 3§ Ano;12256;9072;253741;-1628;
2008;4;Sudeste;xx004;Ensino Fundamental 3§ Ano;65546;8808;1458798;-68871;
2008;5;Sul;xx004;Ensino Fundamental 3§ Ano;21793;8502;432591;8598;
2008;1;Norte;xx005;Ensino Fundamental 4§ Ano;28720;10268;431082;55294;
2008;2;Nordeste;xx005;Ensino Fundamental 4§ Ano;82428;10232;1263032;69657;
2008;3;Centro-Oeste;xx005;Ensino Fundamental 4§ Ano;12366;10091;268160;12102;
2008;4;Sudeste;xx005;Ensino Fundamental 4§ Ano;61925;9752;1414203;75810;
2008;5;Sul;xx005;Ensino Fundamental 4§ Ano;24895;9552;507928;29236;
2008;1;Norte;xx006;Ensino Fundamental 5§ Ano;26299;11254;399146;29606;
2008;2;Nordeste;xx006;Ensino Fundamental 5§ Ano;76412;11230;1206187;65046;
2008;3;Centro-Oeste;xx006;Ensino Fundamental 5§ Ano;11855;11109;263054;11358;
2008;4;Sudeste;xx006;Ensino Fundamental 5§ Ano;61604;10912;1463062;-53439;
2008;5;Sul;xx006;Ensino Fundamental 5§ Ano;23745;10641;489249;5989;
2008;1;Norte;xx007;Ensino Fundamental 6§ Ano;14670;12791;417325;-11135;
2008;2;Nordeste;xx007;Ensino Fundamental 6§ Ano;46758;12774;1393508;-188518;
2008;3;Centro-Oeste;xx007;Ensino Fundamental 6§ Ano;11264;12523;299043;-36243;
2008;4;Sudeste;xx007;Ensino Fundamental 6§ Ano;50984;12081;1555261;-71175;
2008;5;Sul;xx007;Ensino Fundamental 6§ Ano;21382;11982;566628;-61310;
2008;1;Norte;xx008;Ensino Fundamental 7§ Ano;12594;13492;347466;73100;
2008;2;Nordeste;xx008;Ensino Fundamental 7§ Ano;39866;13522;1152628;280144;
2008;3;Centro-Oeste;xx008;Ensino Fundamental 7§ Ano;10438;13410;281126;40942;
2008;4;Sudeste;xx008;Ensino Fundamental 7§ Ano;46735;13026;1444030;106696;
2008;5;Sul;xx008;Ensino Fundamental 7§ Ano;19883;12970;535482;45795;
2008;1;Norte;xx009;Ensino Fundamental 8§ Ano;10818;14402;287141;63403;
2008;2;Nordeste;xx009;Ensino Fundamental 8§ Ano;34487;14402;966586;192738;
2008;3;Centro-Oeste;xx009;Ensino Fundamental 8§ Ano;9637;14363;254150;31523;
2008;4;Sudeste;xx009;Ensino Fundamental 8§ Ano;44669;13980;1369849;84570;
2008;5;Sul;xx009;Ensino Fundamental 8§ Ano;18243;13904;488207;55305;
2008;1;Norte;xx010;Ensino Fundamental 9§ Ano;9656;15335;256356;24253;
2008;2;Nordeste;xx010;Ensino Fundamental 9§ Ano;31327;15354;869133;96712;
2008;3;Centro-Oeste;xx010;Ensino Fundamental 9§ Ano;8723;15372;229331;24822;
2008;4;Sudeste;xx010;Ensino Fundamental 9§ Ano;42741;15012;1325654;-4986;
2008;5;Sul;xx010;Ensino Fundamental 9§ Ano;16414;14827;427357;48525;
2008;1;Norte;xx011;Ensino M‚dio - 1¦ S‚rie;8534;18081;289320;-46154;
