ano;nomeCurso;evasao
2008;Ensino Fundamental 2º Ano;-72215
2008;Ensino Fundamental 3º Ano;-1628
2008;Ensino Fundamental 4º Ano;12102
2008;Ensino Fundamental 5º Ano;11358
2008;Ensino Fundamental 6º Ano;-36243
2008;Ensino Fundamental 7º Ano;40942
2008;Ensino Fundamental 8º Ano;31523
2008;Ensino Fundamental 9º Ano;24822
2008;Ensino Médio - 1ª Série;-4617
2008;Ensino Médio - 2ª Série;66615
2008;Ensino Médio - 3ª Série;31653
2009;Ensino Fundamental 2º Ano;-33617
2009;Ensino Fundamental 3º Ano;-3266
2009;Ensino Fundamental 4º Ano;7550
2009;Ensino Fundamental 5º Ano;8164
2009;Ensino Fundamental 6º Ano;-32469
2009;Ensino Fundamental 7º Ano;28289
2009;Ensino Fundamental 8º Ano;31473
2009;Ensino Fundamental 9º Ano;18564
2009;Ensino Médio - 1ª Série;-25627
2009;Ensino Médio - 2ª Série;54391
2009;Ensino Médio - 3ª Série;27237
2010;Ensino Fundamental 2º Ano;-30533
2010;Ensino Fundamental 3º Ano;654
2010;Ensino Fundamental 4º Ano;10068
2010;Ensino Fundamental 5º Ano;6564
2010;Ensino Fundamental 6º Ano;-30795
2010;Ensino Fundamental 7º Ano;21823
2010;Ensino Fundamental 8º Ano;21545
2010;Ensino Fundamental 9º Ano;14723
2010;Ensino Médio - 1ª Série;-26036
2010;Ensino Médio - 2ª Série;67761
2010;Ensino Médio - 3ª Série;27353
2011;Ensino Fundamental 2º Ano;-31916
2011;Ensino Fundamental 3º Ano;-1715
2011;Ensino Fundamental 4º Ano;8945
2011;Ensino Fundamental 5º Ano;4047
2011;Ensino Fundamental 6º Ano;-29039
2011;Ensino Fundamental 7º Ano;20661
2011;Ensino Fundamental 8º Ano;22784
2011;Ensino Fundamental 9º Ano;16272
2011;Ensino Médio - 1ª Série;-24627
2011;Ensino Médio - 2ª Série;71724
2011;Ensino Médio - 3ª Série;30947
2012;Ensino Fundamental 2º Ano;-24210
2012;Ensino Fundamental 3º Ano;-5583
2012;Ensino Fundamental 4º Ano;7827
2012;Ensino Fundamental 5º Ano;5724
2012;Ensino Fundamental 6º Ano;-24828
2012;Ensino Fundamental 7º Ano;15822
2012;Ensino Fundamental 8º Ano;19121
2012;Ensino Fundamental 9º Ano;13038
2012;Ensino Médio - 1ª Série;-26747
2012;Ensino Médio - 2ª Série;70210
2012;Ensino Médio - 3ª Série;30214
2013;Ensino Fundamental 2º Ano;-19014
2013;Ensino Fundamental 3º Ano;-9730
2013;Ensino Fundamental 4º Ano;6403
2013;Ensino Fundamental 5º Ano;6667
2013;Ensino Fundamental 6º Ano;-18945
2013;Ensino Fundamental 7º Ano;16446
2013;Ensino Fundamental 8º Ano;21295
2013;Ensino Fundamental 9º Ano;16264
2013;Ensino Médio - 1ª Série;-20711
2013;Ensino Médio - 2ª Série;74302
2013;Ensino Médio - 3ª Série;29141
2014;Ensino Fundamental 2º Ano;-14288
2014;Ensino Fundamental 3º Ano;-10393
2014;Ensino Fundamental 4º Ano;5260
2014;Ensino Fundamental 5º Ano;4687
2014;Ensino Fundamental 6º Ano;-17952
2014;Ensino Fundamental 7º Ano;14365
2014;Ensino Fundamental 8º Ano;16382
2014;Ensino Fundamental 9º Ano;10298
2014;Ensino Médio - 1ª Série;-23011
2014;Ensino Médio - 2ª Série;70381
2014;Ensino Médio - 3ª Série;28672
