ano;nomeCurso;evasao
2008;Ensino Fundamental 2º Ano;-677789
2008;Ensino Fundamental 3º Ano;128307
2008;Ensino Fundamental 4º Ano;69657
2008;Ensino Fundamental 5º Ano;65046
2008;Ensino Fundamental 6º Ano;-188518
2008;Ensino Fundamental 7º Ano;280144
2008;Ensino Fundamental 8º Ano;192738
2008;Ensino Fundamental 9º Ano;96712
2008;Ensino Médio - 1ª Série;-166200
2008;Ensino Médio - 2ª Série;265114
2008;Ensino Médio - 3ª Série;103853
2009;Ensino Fundamental 2º Ano;-488065
2009;Ensino Fundamental 3º Ano;46211
2009;Ensino Fundamental 4º Ano;89330
2009;Ensino Fundamental 5º Ano;62954
2009;Ensino Fundamental 6º Ano;-172821
2009;Ensino Fundamental 7º Ano;259567
2009;Ensino Fundamental 8º Ano;197303
2009;Ensino Fundamental 9º Ano;82165
2009;Ensino Médio - 1ª Série;-125118
2009;Ensino Médio - 2ª Série;266290
2009;Ensino Médio - 3ª Série;102935
2010;Ensino Fundamental 2º Ano;-279136
2010;Ensino Fundamental 3º Ano;4682
2010;Ensino Fundamental 4º Ano;95343
2010;Ensino Fundamental 5º Ano;63201
2010;Ensino Fundamental 6º Ano;-135104
2010;Ensino Fundamental 7º Ano;259303
2010;Ensino Fundamental 8º Ano;201213
2010;Ensino Fundamental 9º Ano;105454
2010;Ensino Médio - 1ª Série;-67043
2010;Ensino Médio - 2ª Série;279057
2010;Ensino Médio - 3ª Série;102581
2011;Ensino Fundamental 2º Ano;-141408
2011;Ensino Fundamental 3º Ano;-68245
2011;Ensino Fundamental 4º Ano;71299
2011;Ensino Fundamental 5º Ano;39160
2011;Ensino Fundamental 6º Ano;-145438
2011;Ensino Fundamental 7º Ano;228119
2011;Ensino Fundamental 8º Ano;187853
2011;Ensino Fundamental 9º Ano;85994
2011;Ensino Médio - 1ª Série;-62929
2011;Ensino Médio - 2ª Série;234395
2011;Ensino Médio - 3ª Série;75899
2012;Ensino Fundamental 2º Ano;-95623
2012;Ensino Fundamental 3º Ano;-94807
2012;Ensino Fundamental 4º Ano;57971
2012;Ensino Fundamental 5º Ano;23324
2012;Ensino Fundamental 6º Ano;-135634
2012;Ensino Fundamental 7º Ano;205513
2012;Ensino Fundamental 8º Ano;184111
2012;Ensino Fundamental 9º Ano;94294
2012;Ensino Médio - 1ª Série;-51395
2012;Ensino Médio - 2ª Série;218727
2012;Ensino Médio - 3ª Série;104949
2013;Ensino Fundamental 2º Ano;-58541
2013;Ensino Fundamental 3º Ano;-113029
2013;Ensino Fundamental 4º Ano;68326
2013;Ensino Fundamental 5º Ano;22071
2013;Ensino Fundamental 6º Ano;-114772
2013;Ensino Fundamental 7º Ano;195454
2013;Ensino Fundamental 8º Ano;170781
2013;Ensino Fundamental 9º Ano;90646
2013;Ensino Médio - 1ª Série;-26491
2013;Ensino Médio - 2ª Série;214895
2013;Ensino Médio - 3ª Série;92306
2014;Ensino Fundamental 2º Ano;-32657
2014;Ensino Fundamental 3º Ano;-129707
2014;Ensino Fundamental 4º Ano;56560
2014;Ensino Fundamental 5º Ano;20012
2014;Ensino Fundamental 6º Ano;-108824
2014;Ensino Fundamental 7º Ano;172740
2014;Ensino Fundamental 8º Ano;155989
2014;Ensino Fundamental 9º Ano;91900
2014;Ensino Médio - 1ª Série;-20510
2014;Ensino Médio - 2ª Série;195060
2014;Ensino Médio - 3ª Série;102320
