ano	nomeCurso	evasao
1	1	-365883
1	2	80198
1	3	55294
1	4	29606
1	5	-11135
1	6	73100
1	7	63403
1	8	24253
1	9	-46154
1	10	80020
1	11	37105
2	1	-274222
2	2	56797
2	3	57
2	4	26209
2	5	-20760
2	6	64852
2	7	58827
2	8	19074
2	9	-36056
2	10	66802
2	11	27748
3	1	-175945
3	2	33877
3	3	43429
3	4	28880
3	5	-15991
3	6	64372
3	7	56876
3	8	21836
3	9	-32784
3	10	66691
3	11	27108
4	1	-78610
4	2	-8298
4	3	32457
4	4	21367
4	5	-24498
4	6	54873
4	7	55795
4	8	27086
4	9	-34978
4	10	66969
4	11	27307
5	1	-55819
5	2	-21638
5	3	27940
5	4	18326
5	5	-22670
5	6	53077
5	7	55945
5	8	24268
5	9	-41052
5	10	65848
5	11	29057
6	1	-42578
6	2	-33368
6	3	25854
6	4	14214
6	5	-15332
6	6	50848
6	7	55233
6	8	29337
6	9	-36151
6	10	69368
6	11	33679
7	1	-22037
7	2	-40631
7	3	16205
7	4	10687
7	5	-11443
7	6	50632
7	7	55739
7	8	24217
7	9	-34873
7	10	70211
7	11	32764
