ano	nomeCurso	evasao
1	1	-549290
1	2	-68871
1	3	75810
1	4	-53439
1	5	-71175
1	6	106696
1	7	84570
1	8	-4986
1	9	-58826
1	10	280980
1	11	159870
2	1	-462836
2	2	-52464
2	3	75332
2	4	-32626
2	5	-86116
2	6	139702
2	7	69840
2	8	43261
2	9	-24969
2	10	308149
2	11	180062
3	1	-147219
3	2	-56999
3	3	65092
3	4	-22162
3	5	-92430
3	6	142080
3	7	40371
3	8	69057
3	9	-78901
3	10	294643
3	11	155553
4	1	-73732
4	2	-66357
4	3	51916
4	4	-23916
4	5	-88940
4	6	105659
4	7	52278
4	8	85335
4	9	-89212
4	10	319192
4	11	164512
5	1	-35763
5	2	-57833
5	3	42521
5	4	-18019
5	5	-88774
5	6	95598
5	7	66088
5	8	77348
5	9	-82991
5	10	319183
5	11	178938
6	1	-27297
6	2	-61856
6	3	40907
6	4	-9063
6	5	-75675
6	6	79245
6	7	63835
6	8	69527
6	9	-62204
6	10	297500
6	11	175745
7	1	-13493
7	2	-57237
7	3	38672
7	4	6478
7	5	-65797
7	6	50696
7	7	75599
7	8	54618
7	9	-38462
7	10	270185
7	11	161855
