year	schoolLevel	evasion
1	 1	-72215
1	 2	-1628
1	 3	12102
1	 4	11358
1	 5	-36243
1	 6	40942
1	 7	31523
1	 8	24822
1	 9	-4617
1	 10	66615
1	 11	31653
2	 1	-33617
2	 2	-3266
2	 3	7550
2	 4	8164
2	 5	-32469
2	 6	28289
2	 7	31473
2	 8	18564
2	 9	-25627
2	 10	54391
2	 11	27237
3	 1	-30533
3	 2	654
3	 3	10068
3	 4	6564
3	 5	-30795
3	 6	21823
3	 7	21545
3	 8	14723
3	 9	-26036
3	 10	67761
3	 11	27353
4	 1	-31916
4	 2	-1715
4	 3	8945
4	 4	4047
4	 5	-29039
4	 6	20661
4	 7	22784
4	 8	16272
4	 9	-24627
4	 10	71724
4	 11	30947
5	 1	-24210
5	 2	-5583
5	 3	7827
5	 4	5724
5	 5	-24828
5	 6	15822
5	 7	19121
5	 8	13038
5	 9	-26747
5	 10	70210
5	 11	30214
6	 1	-19014
6	 2	-9730
6	 3	6403
6	 4	6667
6	 5	-18945
6	 6	16446
6	 7	21295
6	 8	16264
6	 9	-20711
6	 10	74302
6	 11	29141
7	 1	-14288
7	 2	-10393
7	 3	5260
7	 4	4687
7	 5	-17952
7	 6	14365
7	 7	16382
7	 8	10298
7	 9	-23011
7	 10	70381
7	 11	28672
