Year	ID BRA	ID	Major	Enrolled	NumStudents
2009	3	380D01	Law	84145	95172
2009	3	345A01	Business and Management	52511	59538
2009	3	142P01	Pedagogy	22368	24046
2009	3	344C02	Accounting	21409	24285
2009	3	7.23E+03	Nursing	21239	23279
2009	3	727F01	Pharmacy	10034	10826
2009	3	483S02	Information Systems	9628	10916
2009	3	146F15	PE Degree	9328	10226
2009	3	145F17	Portuguese and Literature	7931	8742
2009	3	621A04	Agronomy	7887	8534
2009	3	726F01	Physioterapy	7713	8649
2009	3	311P02	Psichology	7572	8932
2009	3	342P02	Advertising	6666	7930
2009	3	5.82E+05	Civil Engineering	6557	7516
2009	3	145F18	Math Degree	5846	6875
