Year	ID BRA	ID	Major	Enrolled	NumStudents
2012	3	380D01	Law	95507	122019
2012	3	345A01	Business and Management	57210	83386
2012	3	344C02	Accounting	27778	37588
2012	3	142P01	Pedagogy	27524	35985
2012	3	7.23E+03	Nursing	24731	31765
2012	3	5.82E+05	Civil Engineering	20271	26066
2012	3	311P02	Psychology	13563	17357
2012	3	146F15	PE Degree	12604	16540
2012	3	727F01	Pharmacy	12176	15245
2012	3	621A04	Agronomy	11205	13698
2012	3	581A05	Architecture	10340	13065
2012	3	345G09	Human Resources	10117	13744
2012	3	481C01	Computer Science	10086	15782
2012	3	726F01	Physioterapy	9058	12362
2012	3	145F01	Biology Degree	8608	11499
