Year	ID BRA	ID	Major	Enrolled	NumStudents
2011	2	380D01	Law	156136	195556
2011	2	345A01	Business and Management	119658	157864
2011	2	7.23E+03	Nursing	76928	91115
2011	2	142P01	Pedagogy	69859	81901
2011	2	344C02	Accounting	52819	65993
2011	2	726F01	Physioterapy	29010	36783
2011	2	311P02	Psychology	28666	34858
2011	2	145F15	Portuguese and Literature	24363	29518
2011	2	762S01	Social Services	21772	26310
2011	2	721M01	Medicine	21061	22118
2011	2	5.82E+05	Civil Engeneering	20886	24191
2011	2	145F01	Biology Degree	20431	24848
2011	2	481C01	Computer Science	19785	26796
2011	2	145F11	History Degree	19722	24481
2011	2	146F15	PE Degree	18976	24238
