Year	ID BRA	ID	Major	Enrolled	NumStudents
2012	2	380D01	Law	162389	201836
2012	2	345A01	Business and Management	117546	159930
2012	2	7.23E+03	Nursing	79302	94901
2012	2	142P01	Pedagogy	72788	83959
2012	2	344C02	Accounting	55499	70432
2012	2	311P02	Psychology	34100	41222
2012	2	726F01	Physioterapy	30975	38830
2012	2	5.82E+05	Civil Engineering	29643	34553
2012	2	762S01	Social Service	26003	31990
2012	2	145F15	Portuguese	23689	29558
2012	2	721M01	Medicine	22553	23391
2012	2	726N02	Nutrition	21784	25866
2012	2	145F01	Biology Degree	21025	25984
2012	2	146F15	PE Degree	20748	25786
2012	2	481C01	Computer Science	20632	27945
