Year	ID BRA	ID	Major	Enrolled	NumStudents
2011	1	380D01	Law	47138	61532
2011	1	345A01	Business and Management	33341	48652
2011	1	142P01	Pedagogy	28965	35018
2011	1	7.23E+03	Nursing	19248	24618
2011	1	344C02	Accounting	17535	24093
2011	1	145F15	Portuguese and Literature	11480	13280
2011	1	145F18	Math Degree	10147	11698
2011	1	146F15	PE Degree	9717	13064
2011	1	762S01	Social Services	9565	13568
2011	1	721M01	Medicine	9557	10357
2011	1	311P02	Psychology	8153	11434
2011	1	5.82E+05	Civil Engeneering	8142	10507
2011	1	145F01	Biology Degree	7881	10043
2011	1	726F01	Physioterapy	6903	9900
2011	1	727F01	Pharmacy	6573	8551
