Year	ID BRA	ID	Major	Enrolled	NumStudents
2012	4	345A01	Business and Management	336819	476885
2012	4	380D01	Law	308007	407341
2012	4	142P01	Pedagogy	139659	179645
2012	4	5.82E+05	Civil Engineering	108128	139736
2012	4	344C02	Accounting	99595	134167
2012	4	7.23E+03	Nursing	89341	124018
2012	4	5.20E+07	Production Engineering	84564	115578
2012	4	311P02	Psychology	77428	102471
2012	4	481C01	Computer Science	67147	99415
2012	4	345G09	Human Resources	59896	86652
2012	4	721M01	Medicine	56085	58526
2012	4	146F15	PE Degree	53075	77272
2012	4	5.21E+07	Mechanical Enginerring	51241	67693
2012	4	727F01	Pharmacy	50139	65881
2012	4	581A05	Architecture	47747	60916
