Year	ID BRA	ID	Major	Enrolled	NumStudents
2011	5	345A01	Business and Management	133965	194897
2011	5	380D01	Law	121793	161106
2011	5	344C02	Accounting	47465	63060
2011	5	142P01	Pedagogy	34785	47643
2011	5	311P02	Psychology	26831	36904
2011	5	146F15	PE Degree	22398	31970
2011	5	7.23E+03	Nursing	22267	29610
2011	5	5.82E+05	Civil Engineering	21995	27367
2011	5	481C01	Computer science	20330	30424
2011	5	581A05	Architecture	18229	23539
2011	5	5.21E+07	Mechanical Engineering	15711	21523
2011	5	721M01	Medicine	15551	16437
2011	5	621A04	Agronomy	14982	17911
2011	5	5.20E+07	Production engineering	14939	20493
2011	5	727F01	Pharmacy	14723	18302
