year	schoolLevel	evasion
1	1	-677789
1	2	128307
1	3	69657
1	4	65046
1	5	-188518
1	6	280144
1	7	192738
1	8	96712
1	9	-166200
1	10	265114
1	11	103853
2	1	-488065
2	2	46211
2	3	89330
2	4	62954
2	5	-172821
2	6	259567
2	7	197303
2	8	82165
2	9	-125118
2	10	266290
2	11	102935
3	1	-279136
3	2	4682
3	3	95343
3	4	63201
3	5	-135104
3	6	259303
3	7	513
3	8	105454
3	9	-67043
3	10	279057
3	11	102581
4	1	-141408
4	2	-68245
4	3	71299
4	4	39160
4	5	-145438
4	6	228119
4	7	187853
4	8	85994
4	9	-62929
4	10	234395
4	11	75899
5	1	-95623
5	2	-94807
5	3	57971
5	4	23324
5	5	-135634
5	6	205513
5	7	184111
5	8	94294
5	9	-51395
5	10	218727
5	11	104949
6	1	-58541
6	2	-113029
6	3	68326
6	4	22071
6	5	-114772
6	6	195454
6	7	170781
6	8	90646
6	9	-26491
6	10	214895
6	11	92306
7	1	-32657
7	2	-129707
7	3	56560
7	4	20012
7	5	-108824
7	6	172740
7	7	155989
7	8	91900
7	9	-20510
7	10	195060
7	11	102320
