category	measure						
General administration	  306344589.36 						
Hospital and outpatient care	  171000.00 						
Basic assistance	  1015992.43 						
Scientific development	  1087128.56 						
Individual and collective rights	  1512977.86 						
Basic education	  41275441.12 						
Adult education	  799836.64 						
Child education	  14309705.66 						
Elementary school	  1704316.57 						
High school	  480000.00 						
Professionalizing education	  3527274.74 						
College education	  15970135.82 						
Human resource development	  5829685.53 						
Information technology	  1049959.70 						
Funds transfer for basic education	  298007205.18 						
