Year	 Region	 Subfunction	 Total						
2013 	  Midwest	  General administration	  257,316,719.37 						
2013 	  Midwest	  Hospital and outpatient care	  39,548,886.79 						
2013 	  Midwest	  Social communication	  4,950,000.00 						
2013 	  Midwest	  Scientific development	  15,007,078.80 						
2013 	  Midwest	  Engineering and technological development	  5,000,000.00 						
2013 	  Midwest	  Dissemination of scientific knowledge	  18,000,000.00 						
2013 	  Midwest	  Basic education	  62,589,696.14 						
2013 	  Midwest	  Professionalizing education	  153,681,546.83 						
2013 	  Midwest	  College education	  177,441,368.36 						
2013 	  Midwest	  Human resource development	  1,123,456.42 						
2013 	  Midwest	  Planning and budgeting	  6,000,000.00 						
2013 	  Midwest	  Information technology	  155,358,589.30 						
2013 	  Midwest	  Funds transfer for basic education	  6,393,120.00 						
