Year	 Region	 Subfunction	 Total						
2010 	  North	  General administration	  116,241,968.18 						
2010 	  North	  Basic education	  30,411,783.58 						
2010 	  North	  Adult education	  559,696.50 						
2010 	  North	  Special education	  1,083,773.32 						
2010 	  North	  Child education	  200,458.38 						
2010 	  North	  Elementary school	  1,078,565.48 						
2010 	  North	  High school	  480,000.00 						
2010 	  North	  Professionalizing education	  400,000.00 						
2010 	  North	  College education	  11,822,715.64 						
2010 	  North	  Human resource development	  16,632,728.93 						
2010 	  North	  Information technology	  1,578,239.70 						
2010 	  North	  Funds transfer for basic education	  210,477,739.85 						
