category	measure						
Scientific development	  1819948.39 						
Dissemination of culture	  607792.68 						
Basic education	  68503164.03 						
Adult education	  1067115.58 						
Special education	  2041282.77 						
Child education	  8948007.97 						
Elementary school	  284484.12 						
High school	  1437600.00 						
Professionalizing education	  336960191.51 						
College education	  18576468.40 						
Human resource development	  41618926.46 						
Information technology	  2531468.60 						
Funds transfer for basic education	  878655150.88 						
