Year	 Region	 Subfunction	 Total						
2011 	  Northeast	  Scientific development	  362,105.96 						
2011 	  Northeast	  Basic education	  205,993,391.77 						
2011 	  Northeast	  Special education	  11,802,228.90 						
2011 	  Northeast	  Child education	  23,361,361.89 						
2011 	  Northeast	  High school	  5,054,360.84 						
2011 	  Northeast	  Professionalizing education	  243,048,684.73 						
2011 	  Northeast	  College education	  6,258,563.16 						
2011 	  Northeast	  Human resource development	  26,545,960.00 						
2011 	  Northeast	  Information technology	  1,996,750.05 						
2011 	  Northeast	  Funds transfer for basic education	  456,883,621.20 						
