category	measure						
General administration	  541195.81 						
Scientific development	  31068981.34 						
Dissemination of culture	  22201198.18 						
Basic education	  15796145.70 						
Adult education	  1495147.01 						
Special education	  7258907.67 						
Child education	  10137365.71 						
Elementary school	  1004958.45 						
Professionalizing education	  90893844.18 						
College education	  160849198.31 						
Human resource development	  24380659.54 						
Information technology	  1768253.97 						
Funds transfer for basic education	  306195300.47 						
