category	measure						
General administration	  1486546160.42 						
Hospital and outpatient care	  13739643.34 						
Scientific development	  27128872.75 						
Dissemination of scientific knowledge	  2073044.80 						
Individual and collective rights	  2993230.81 						
Basic education	  75211035.02 						
Adult education	  3130171.50 						
Special education	  1928639.81 						
Child education	  18135417.31 						
Elementary school	  2021589.31 						
High school	  479805.00 						
Professionalizing education	  137335828.16 						
College education	  276955907.33 						
Human resource development	  33987809.57 						
Information technology	  1329476.60 						
Funds transfer for basic education	  355932853.44 						
