Year	 Region	 Subfunction	 Total						
2013 	  Southeast	  General administration	  1,133,730,315.94 						
2013 	  Southeast	  Hospital and outpatient care	  212,016,051.73 						
2013 	  Southeast	  Scientific development	  44,685,726.34 						
2013 	  Southeast	  Basic education	  144,660,140.25 						
2013 	  Southeast	  Adult education	  1,675,895.03 						
2013 	  Southeast	  Elementary school	  318,192.31 						
2013 	  Southeast	  Professionalizing education	  197,031,452.53 						
2013 	  Southeast	  College education	  1,137,589,238.42 						
2013 	  Southeast	  Human resource development	  16,409,302.76 						
2013 	  Southeast	  Funds transfer for basic education	  9,693,922.41 						
