Year	ID_BRA	ID_HS	Exports	RegName	ExpSection
2012	2	1	87022869000	Nordeste	Animal Prod
2012	2	2	2800556969000	Nordeste	Vegetable Prod
2012	2	3	141735877000	Nordeste	Veg.&Animal derivatives
2012	2	4	2267950264000	Nordeste	Food Kinds
2012	2	5	3187013244000	Nordeste	Mineral Prod
2012	2	6	2242235600000	Nordeste	Chemicals
2012	2	7	684514655000	Nordeste	Plastics and Rubbers
2012	2	8	351432052000	Nordeste	Animal
2012	2	9	2686705000	Nordeste	Wood Prod
2012	2	10	1679491136000	Nordeste	Paper Prod
2012	2	11	849133750000	Nordeste	Textiles
2012	2	12	548428355000	Nordeste	Shoes, Hats and Similar
2012	2	13	32362778000	Nordeste	Articles of Stone and Other Materials
2012	2	14	578059991000	Nordeste	Precious metals
2012	2	15	1341927550000	Nordeste	Metals
2012	2	16	189585888000	Nordeste	Machines
2012	2	17	806802204000	Nordeste	Transports
2012	2	18	6437305000	Nordeste	Instruments
2012	2	19	0	Nordeste	Arms and Ammo
2012	2	20	14242208000	Nordeste	Miscelaneous
2012	2	21	28679000	Nordeste	Art and Antiques
