Year	ID_BRA	ID_HS	Exports	RegName	ExpSection
2012	1	1	1309139050000	Norte	Animal Prod
2012	1	2	1060285324000	Norte	Vegetable Prod
2012	1	3	119651737000	Norte	Veg.&Animal derivatives
2012	1	4	301305741000	Norte	Food Kinds
2012	1	5	4302497665200	Norte	Mineral Prod
2012	1	6	1372087097000	Norte	Chemicals
2012	1	7	10544168000	Norte	Plastics and Rubbers
2012	1	8	45759348000	Norte	Animal
2012	1	9	377581176000	Norte	Wood Prod
2012	1	10	131676313000	Norte	Paper Prod
2012	1	11	1380355000	Norte	Textiles
2012	1	12	1308236000	Norte	Shoes, Hats and Similar
2012	1	13	2422153000	Norte	Articles of Stone and Other Materials
2012	1	14	71243248000	Norte	Precious metals
2012	1	15	1493338496000	Norte	Metals
2012	1	16	242627514000	Norte	Machines
2012	1	17	207275848000	Norte	Transports
2012	1	18	15288744000	Norte	Instruments
2012	1	19	0	Norte	Arms and Ammo
2012	1	20	39691791000	Norte	Miscelaneous
2012	1	21	388000	Norte	Art and Antiques
