ano;nomeCurso;evasao;
2008;Ensino Fundamental 2º Ano;-365883;
2008;Ensino Fundamental 3º Ano;80198;
2008;Ensino Fundamental 4º Ano;55294;
2008;Ensino Fundamental 5º Ano;29606;
2008;Ensino Fundamental 6º Ano;-11135;
2008;Ensino Fundamental 7º Ano;73100;
2008;Ensino Fundamental 8º Ano;63403;
2008;Ensino Fundamental 9º Ano;24253;
2008;Ensino Médio - 1ª Série;-46154;
2008;Ensino Médio - 2ª Série;80020;
2008;Ensino Médio - 3ª Série;37105;
2009;Ensino Fundamental 2º Ano;-274222;
2009;Ensino Fundamental 3º Ano;56797;
2009;Ensino Fundamental 4º Ano;52014;
2009;Ensino Fundamental 5º Ano;26209;
2009;Ensino Fundamental 6º Ano;-20760;
2009;Ensino Fundamental 7º Ano;64852;
2009;Ensino Fundamental 8º Ano;58827;
2009;Ensino Fundamental 9º Ano;19074;
2009;Ensino Médio - 1ª Série;-36056;
2009;Ensino Médio - 2ª Série;66802;
2009;Ensino Médio - 3ª Série;27748;
2010;Ensino Fundamental 2º Ano;-175945;
2010;Ensino Fundamental 3º Ano;33877;
2010;Ensino Fundamental 4º Ano;43429;
2010;Ensino Fundamental 5º Ano;28880;
2010;Ensino Fundamental 6º Ano;-15991;
2010;Ensino Fundamental 7º Ano;64372;
2010;Ensino Fundamental 8º Ano;56876;
2010;Ensino Fundamental 9º Ano;21836;
2010;Ensino Médio - 1ª Série;-32784;
2010;Ensino Médio - 2ª Série;66691;
2010;Ensino Médio - 3ª Série;27108;
2011;Ensino Fundamental 2º Ano;-78610;
2011;Ensino Fundamental 3º Ano;-8298;
2011;Ensino Fundamental 4º Ano;32457;
2011;Ensino Fundamental 5º Ano;21367;
2011;Ensino Fundamental 6º Ano;-24498;
2011;Ensino Fundamental 7º Ano;54873;
2011;Ensino Fundamental 8º Ano;55795;
2011;Ensino Fundamental 9º Ano;27086;
2011;Ensino Médio - 1ª Série;-34978;
2011;Ensino Médio - 2ª Série;66969;
2011;Ensino Médio - 3ª Série;27307;
2012;Ensino Fundamental 2º Ano;-55819;
2012;Ensino Fundamental 3º Ano;-21638;
2012;Ensino Fundamental 4º Ano;27940;
2012;Ensino Fundamental 5º Ano;18326;
2012;Ensino Fundamental 6º Ano;-22670;
2012;Ensino Fundamental 7º Ano;53077;
2012;Ensino Fundamental 8º Ano;55945;
2012;Ensino Fundamental 9º Ano;24268;
2012;Ensino Médio - 1ª Série;-41052;
2012;Ensino Médio - 2ª Série;65848;
2012;Ensino Médio - 3ª Série;29057;
2013;Ensino Fundamental 2º Ano;-42578;
2013;Ensino Fundamental 3º Ano;-33368;
2013;Ensino Fundamental 4º Ano;25854;
2013;Ensino Fundamental 5º Ano;14214;
2013;Ensino Fundamental 6º Ano;-15332;
2013;Ensino Fundamental 7º Ano;50848;
2013;Ensino Fundamental 8º Ano;55233;
2013;Ensino Fundamental 9º Ano;29337;
2013;Ensino Médio - 1ª Série;-36151;
2013;Ensino Médio - 2ª Série;69368;
2013;Ensino Médio - 3ª Série;33679;
2014;Ensino Fundamental 2º Ano;-22037;
2014;Ensino Fundamental 3º Ano;-40631;
2014;Ensino Fundamental 4º Ano;16205;
2014;Ensino Fundamental 5º Ano;10687;
2014;Ensino Fundamental 6º Ano;-11443;
2014;Ensino Fundamental 7º Ano;50632;
2014;Ensino Fundamental 8º Ano;55739;
2014;Ensino Fundamental 9º Ano;24217;
2014;Ensino Médio - 1ª Série;-34873;
2014;Ensino Médio - 2ª Série;70211;
2014;Ensino Médio - 3ª Série;32764;
