ano	nomeCurso	evasao
1	1	-119348
1	2	8598
1	3	29236
1	4	5989
1	5	-61310
1	6	45795
1	7	55305
1	8	48525
1	9	-37961
1	10	123697
1	11	52490
2	1	-56745
2	2	-4645
2	3	13877
2	4	2802
2	5	-66333
2	6	35480
2	7	49228
2	8	50092
2	9	-28191
2	10	122721
2	11	54080
3	1	-54706
3	2	10909
3	3	3578
3	4	6622
3	5	-59143
3	6	36458
3	7	50809
3	8	51945
3	9	-18951
3	10	122112
3	11	54441
4	1	-47273
4	2	7582
4	3	15060
4	4	-3704
4	5	-45082
4	6	25022
4	7	50677
4	8	53264
4	9	-15854
4	10	121375
4	11	56954
5	1	-35598
5	2	-2592
5	3	15774
5	4	510
5	5	-45531
5	6	25091
5	7	56552
5	8	30269
5	9	-22019
5	10	115185
5	11	54600
7	1	-18390
7	2	-21789
7	3	18898
7	4	3244
7	5	-44421
7	6	21680
7	7	40746
7	8	42950
7	9	-11828
7	10	108809
7	11	54963
8	1	-14401
8	2	-30819
8	3	20936
8	4	1032
8	5	-39659
8	6	22903
8	7	38684
8	8	31632
8	9	-15804
8	10	112723
8	11	52642
